Store,Date,Volume (units), Sales ($s) , Price 
2,8/21/2019,82," $1,229 ", $14.99 
2,8/20/2019,166," $2,162 ", $13.03 
2,8/19/2019,108," $1,598 ", $14.80 
2,8/18/2019,106," $1,589 ", $14.99 
2,8/17/2019,109," $1,634 ", $14.99 
2,8/16/2019,128," $1,919 ", $14.99 
2,8/15/2019,158," $2,075 ", $13.13 
2,8/14/2019,103," $1,544 ", $14.99 
2,8/13/2019,169," $1,954 ", $11.56 
2,8/12/2019,170," $1,756 ", $10.33 
2,8/11/2019,140," $1,946 ", $13.90 
2,8/10/2019,104," $1,559 ", $14.99 
2,8/9/2019,72," $1,079 ", $14.99 
2,8/8/2019,111," $1,530 ", $13.78 
2,8/7/2019,102," $1,527 ", $14.97 
2,8/6/2019,54, $809 , $14.99 
2,8/5/2019,106," $1,559 ", $14.71 
2,8/4/2019,96," $1,439 ", $14.99 
2,8/3/2019,81," $1,214 ", $14.99 
2,8/2/2019,94," $1,409 ", $14.99 
2,8/1/2019,189," $1,955 ", $10.34 
2,7/31/2019,132," $1,979 ", $14.99 
2,7/30/2019,108," $1,619 ", $14.99 
2,7/29/2019,132," $1,808 ", $13.69 
2,7/28/2019,113," $1,694 ", $14.99 
2,7/27/2019,124," $1,859 ", $14.99 
2,7/26/2019,128," $1,762 ", $13.76 
2,7/25/2019,117," $1,754 ", $14.99 
2,7/24/2019,110," $1,640 ", $14.91 
2,7/23/2019,110," $1,649 ", $14.99 
2,7/22/2019,76," $1,139 ", $14.99 
2,7/21/2019,104," $1,559 ", $14.99 
2,7/20/2019,93," $1,394 ", $14.99 
2,7/19/2019,139," $1,862 ", $13.39 
2,7/18/2019,85," $1,274 ", $14.99 
2,7/17/2019,116," $1,701 ", $14.67 
2,7/16/2019,114," $1,709 ", $14.99 
2,7/15/2019,169," $2,313 ", $13.69 
2,7/14/2019,37, $555 , $14.99 
2,7/13/2019,76," $1,139 ", $14.99 
2,7/12/2019,102," $1,529 ", $14.99 
2,7/11/2019,149," $2,177 ", $14.61 
2,7/10/2019,66, $989 , $14.99 
2,7/9/2019,115," $1,706 ", $14.84 
2,7/8/2019,89," $1,249 ", $14.04 
2,7/7/2019,145," $1,796 ", $12.39 
2,7/6/2019,82," $1,229 ", $14.99 
2,7/5/2019,118," $1,769 ", $14.99 
2,7/4/2019,124," $1,737 ", $14.00 
2,7/3/2019,93," $1,394 ", $14.99 
2,7/2/2019,132," $1,979 ", $14.99 
2,7/1/2019,100," $1,427 ", $14.27 
2,6/30/2019,112," $1,679 ", $14.99 
2,6/29/2019,102," $1,529 ", $14.99 
2,6/28/2019,107," $1,604 ", $14.99 
2,6/27/2019,64, $947 , $14.79 
2,6/26/2019,154," $1,651 ", $10.72 
2,6/25/2019,137," $2,053 ", $14.98 
2,6/24/2019,130," $1,895 ", $14.57 
2,6/23/2019,149," $2,037 ", $13.67 
2,6/22/2019,88," $1,319 ", $14.99 
2,6/21/2019,101," $1,514 ", $14.99 
2,6/20/2019,113," $1,694 ", $14.99 
2,6/19/2019,115," $1,671 ", $14.53 
2,6/18/2019,83," $1,244 ", $14.99 
2,6/17/2019,162," $1,999 ", $12.34 
2,6/16/2019,124," $1,859 ", $14.99 
2,6/15/2019,140," $1,822 ", $13.02 
2,6/14/2019,126," $1,888 ", $14.98 
2,6/13/2019,132," $1,679 ", $12.72 
2,6/12/2019,120," $1,646 ", $13.72 
2,6/11/2019,92," $1,379 ", $14.99 
2,6/10/2019,178," $2,145 ", $12.05 
2,6/9/2019,151," $2,048 ", $13.56 
2,6/8/2019,68," $1,019 ", $14.99 
2,6/7/2019,117," $1,638 ", $14.00 
2,6/6/2019,133," $1,994 ", $14.99 
2,6/5/2019,117," $1,754 ", $14.99 
2,6/4/2019,118," $1,769 ", $14.99 
2,6/3/2019,97," $1,454 ", $14.99 
2,6/2/2019,91," $1,364 ", $14.99 
2,6/1/2019,116," $1,739 ", $14.99 
2,5/31/2019,145," $2,004 ", $13.82 
2,5/30/2019,88," $1,327 ", $15.08 
2,5/29/2019,91," $1,364 ", $14.99 
2,5/28/2019,105," $1,544 ", $14.71 
2,5/27/2019,113," $1,690 ", $14.95 
2,5/26/2019,117," $1,754 ", $14.99 
2,5/25/2019,95," $1,424 ", $14.99 
2,5/24/2019,58, $861 , $14.85 
2,5/23/2019,164," $2,158 ", $13.16 
2,5/22/2019,100," $1,472 ", $14.72 
2,5/21/2019,110," $1,649 ", $14.99 
2,5/20/2019,59, $884 , $14.99 
2,5/19/2019,67," $1,004 ", $14.99 
2,5/18/2019,106," $1,589 ", $14.99 
2,5/17/2019,107," $1,604 ", $14.99 
2,5/16/2019,154," $1,958 ", $12.72 
2,5/15/2019,95," $1,424 ", $14.99 
2,5/14/2019,126," $1,626 ", $12.90 
2,5/13/2019,104," $1,559 ", $14.99 
2,5/12/2019,118," $1,556 ", $13.19 
2,5/11/2019,94," $1,409 ", $14.99 
2,5/10/2019,100," $1,498 ", $14.98 
2,5/9/2019,114," $1,615 ", $14.16 
2,5/8/2019,85," $1,274 ", $14.99 
2,5/7/2019,97," $1,454 ", $14.99 
2,5/6/2019,192," $2,526 ", $13.15 
2,5/5/2019,108," $1,510 ", $13.98 
2,5/4/2019,91," $1,364 ", $14.99 
2,5/3/2019,90," $1,349 ", $14.99 
2,5/2/2019,91," $1,364 ", $14.99 
2,5/1/2019,111," $1,595 ", $14.37 
2,4/30/2019,107," $1,539 ", $14.39 
2,4/29/2019,101," $1,514 ", $14.99 
2,4/28/2019,133," $1,753 ", $13.18 
2,4/27/2019,77," $1,154 ", $14.99 
2,4/26/2019,127," $1,904 ", $14.99 
2,4/25/2019,82," $1,229 ", $14.99 
2,4/24/2019,144," $1,837 ", $12.76 
2,4/23/2019,173," $2,183 ", $12.62 
2,4/22/2019,112," $1,679 ", $14.99 
2,4/21/2019,79," $1,184 ", $14.99 
2,4/20/2019,166," $2,207 ", $13.30 
2,4/19/2019,77," $1,154 ", $14.99 
2,4/18/2019,106," $1,495 ", $14.10 
2,4/17/2019,121," $1,814 ", $14.99 
2,4/16/2019,213," $2,081 ", $9.77 
2,4/15/2019,123," $1,844 ", $14.99 
2,4/14/2019,114," $1,709 ", $14.99 
2,4/13/2019,116," $1,644 ", $14.17 
2,4/12/2019,109," $1,634 ", $14.99 
2,4/11/2019,88," $1,319 ", $14.99 
2,4/10/2019,99," $1,484 ", $14.99 
2,4/9/2019,123," $1,694 ", $13.78 
2,4/8/2019,99," $1,484 ", $14.99 
2,4/7/2019,98," $1,469 ", $14.99 
2,4/6/2019,95," $1,424 ", $14.99 
2,4/5/2019,168," $2,287 ", $13.61 
2,4/4/2019,126," $1,690 ", $13.41 
2,4/3/2019,103," $1,328 ", $12.90 
2,4/2/2019,91," $1,329 ", $14.60 
2,4/1/2019,158," $1,966 ", $12.44 
2,3/31/2019,128," $1,731 ", $13.53 
2,3/30/2019,219," $2,382 ", $10.87 
2,3/29/2019,88," $1,319 ", $14.99 
2,3/28/2019,141," $1,899 ", $13.47 
2,3/27/2019,125," $1,623 ", $12.99 
2,3/26/2019,86," $1,466 ", $17.05 
2,3/25/2019,117," $1,754 ", $14.99 
2,3/24/2019,105," $1,574 ", $14.99 
2,3/23/2019,91," $1,361 ", $14.96 
2,3/22/2019,139," $1,984 ", $14.28 
2,3/21/2019,118," $1,541 ", $13.06 
2,3/20/2019,91," $1,364 ", $14.99 
2,3/19/2019,161," $1,979 ", $12.29 
2,3/18/2019,135," $2,024 ", $14.99 
2,3/17/2019,88," $1,319 ", $14.99 
2,3/16/2019,128," $1,919 ", $14.99 
2,3/15/2019,88," $1,287 ", $14.62 
2,3/14/2019,59, $884 , $14.99 
2,3/13/2019,88," $1,251 ", $14.22 
2,3/12/2019,115," $1,658 ", $14.42 
2,3/11/2019,127," $1,703 ", $13.41 
2,3/10/2019,186," $2,431 ", $13.07 
2,3/9/2019,98," $1,437 ", $14.66 
2,3/8/2019,109," $1,634 ", $14.99 
2,3/7/2019,81," $1,214 ", $14.99 
2,3/6/2019,175," $2,098 ", $11.99 
2,3/5/2019,132," $1,979 ", $14.99 
2,3/4/2019,121," $1,573 ", $13.00 
2,3/3/2019,103," $1,544 ", $14.99 
2,3/2/2019,41, $615 , $14.99 
2,3/1/2019,108," $1,619 ", $14.99 
2,2/28/2019,116," $1,739 ", $14.99 
2,2/27/2019,96," $1,439 ", $14.99 
2,2/26/2019,216," $2,058 ", $9.53 
2,2/25/2019,83," $1,244 ", $14.99 
2,2/24/2019,92," $1,379 ", $14.99 
2,2/23/2019,120," $1,799 ", $14.99 
2,2/22/2019,126," $1,856 ", $14.73 
2,2/21/2019,109," $1,634 ", $14.99 
2,2/20/2019,122," $1,829 ", $14.99 
2,2/19/2019,159," $2,161 ", $13.59 
2,2/18/2019,126," $1,735 ", $13.77 
2,2/17/2019,107," $1,604 ", $14.99 
2,2/16/2019,176," $2,129 ", $12.10 
2,2/15/2019,149," $2,067 ", $13.87 
2,2/14/2019,226," $2,180 ", $9.65 
2,2/13/2019,97," $1,454 ", $14.99 
2,2/12/2019,80," $1,199 ", $14.99 
2,2/11/2019,123," $1,844 ", $14.99 
2,2/10/2019,109," $1,634 ", $14.99 
2,2/9/2019,149," $1,983 ", $13.31 
2,2/8/2019,86," $1,289 ", $14.99 
2,2/7/2019,94," $1,306 ", $13.89 
2,2/6/2019,83," $1,231 ", $14.84 
2,2/5/2019,106," $1,573 ", $14.84 
2,2/4/2019,107," $1,604 ", $14.99 
2,2/3/2019,75," $1,124 ", $14.99 
2,2/2/2019,97," $1,454 ", $14.99 
2,2/1/2019,124," $1,859 ", $14.99 
2,1/31/2019,83," $1,244 ", $14.99 
2,1/30/2019,71," $1,064 ", $14.99 
2,1/29/2019,95," $1,260 ", $13.26 
2,1/28/2019,120," $1,453 ", $12.11 
2,1/27/2019,86," $1,289 ", $14.99 
2,1/26/2019,85," $1,274 ", $14.99 
2,1/25/2019,96," $1,439 ", $14.99 
2,1/24/2019,109," $1,634 ", $14.99 
2,1/23/2019,171," $2,045 ", $11.96 
2,1/22/2019,161," $1,651 ", $10.25 
2,1/21/2019,125," $1,783 ", $14.26 
2,1/20/2019,131," $1,765 ", $13.47 
2,1/19/2019,114," $1,709 ", $14.99 
2,1/18/2019,202," $2,489 ", $12.32 
2,1/17/2019,106," $1,517 ", $14.31 
2,1/16/2019,91," $1,364 ", $14.99 
2,1/15/2019,151," $2,172 ", $14.38 
2,1/14/2019,192," $2,419 ", $12.60 
2,1/13/2019,97," $1,454 ", $14.99 
2,1/12/2019,53, $794 , $14.99 
2,1/11/2019,181," $1,932 ", $10.67 
2,1/10/2019,105," $1,492 ", $14.21 
2,1/9/2019,130," $1,949 ", $14.99 
2,1/8/2019,85," $1,274 ", $14.99 
2,1/7/2019,123," $1,700 ", $13.82 
2,1/6/2019,82," $1,198 ", $14.61 
2,1/5/2019,89," $1,334 ", $14.99 
2,1/4/2019,196," $2,083 ", $10.63 
2,1/3/2019,112," $1,635 ", $14.60 
2,1/2/2019,129," $1,863 ", $14.44 
2,1/1/2019,86," $1,289 ", $14.99 
3,8/31/2019,200," $2,580 ", $12.90 
3,8/30/2019,125," $1,781 ", $14.25 
3,8/29/2019,137," $1,958 ", $14.29 
3,8/28/2019,95," $1,424 ", $14.99 
3,8/27/2019,74," $1,109 ", $14.99 
3,8/26/2019,148," $1,933 ", $13.06 
3,8/25/2019,112," $1,679 ", $14.99 
3,8/24/2019,100," $1,499 ", $14.99 
3,8/23/2019,113," $1,694 ", $14.99 
3,8/22/2019,201," $2,213 ", $11.01 
3,8/21/2019,128," $1,919 ", $14.99 
3,8/20/2019,112," $1,679 ", $14.99 
3,8/19/2019,95," $1,424 ", $14.99 
3,8/18/2019,183," $1,822 ", $9.95 
3,8/17/2019,108," $1,619 ", $14.99 
3,8/16/2019,54, $809 , $14.99 
3,8/15/2019,107," $1,604 ", $14.99 
3,8/14/2019,91," $1,279 ", $14.05 
3,8/13/2019,180," $1,867 ", $10.37 
3,8/12/2019,140," $1,869 ", $13.35 
3,8/11/2019,152," $1,865 ", $12.27 
3,8/10/2019,106," $1,573 ", $14.84 
3,8/9/2019,104," $1,559 ", $14.99 
3,8/8/2019,123," $1,651 ", $13.42 
3,8/7/2019,128," $1,919 ", $14.99 
3,8/6/2019,191," $2,032 ", $10.64 
3,8/5/2019,112," $1,655 ", $14.77 
3,8/4/2019,93," $1,394 ", $14.98 
3,8/3/2019,122," $1,786 ", $14.64 
3,8/2/2019,111," $1,492 ", $13.44 
3,8/1/2019,114," $1,709 ", $14.99 
3,7/31/2019,108," $1,536 ", $14.22 
3,7/30/2019,104," $1,559 ", $14.99 
3,7/29/2019,113," $1,694 ", $14.99 
3,7/28/2019,86," $1,289 ", $14.99 
3,7/27/2019,96," $1,439 ", $14.99 
3,7/26/2019,161," $2,182 ", $13.56 
3,7/25/2019,49, $735 , $14.99 
3,7/24/2019,131," $1,964 ", $14.99 
3,7/23/2019,132," $1,819 ", $13.78 
3,7/22/2019,111," $1,664 ", $14.99 
3,7/21/2019,122," $1,721 ", $14.11 
3,7/20/2019,103," $1,421 ", $13.80 
3,7/19/2019,135," $1,884 ", $13.96 
3,7/18/2019,141," $1,992 ", $14.13 
3,7/17/2019,122," $1,611 ", $13.20 
3,7/16/2019,133," $1,994 ", $14.99 
3,7/15/2019,146," $1,966 ", $13.47 
3,7/14/2019,122," $1,786 ", $14.64 
3,7/13/2019,153," $1,913 ", $12.50 
3,7/12/2019,136," $1,809 ", $13.30 
3,7/11/2019,113," $1,636 ", $14.48 
3,7/10/2019,114," $1,709 ", $14.99 
3,7/9/2019,98," $1,469 ", $14.99 
3,7/8/2019,146," $2,022 ", $13.85 
3,7/7/2019,127," $1,904 ", $14.99 
3,7/6/2019,108," $1,530 ", $14.16 
3,7/5/2019,117," $1,754 ", $14.99 
3,7/4/2019,112," $1,679 ", $14.99 
3,7/3/2019,129," $1,934 ", $14.99 
3,7/2/2019,104," $1,559 ", $14.99 
3,7/1/2019,58, $869 , $14.99 
3,6/30/2019,119," $1,784 ", $14.99 
3,6/29/2019,89," $1,325 ", $14.89 
3,6/28/2019,75," $1,124 ", $14.99 
3,6/27/2019,65, $974 , $14.99 
3,6/26/2019,104," $1,514 ", $14.56 
3,6/25/2019,134," $1,893 ", $14.13 
3,6/24/2019,154," $1,833 ", $11.90 
3,6/23/2019,193," $2,223 ", $11.52 
3,6/22/2019,82," $1,229 ", $14.99 
3,6/21/2019,156," $1,923 ", $12.33 
3,6/20/2019,141," $1,887 ", $13.38 
3,6/19/2019,115," $1,680 ", $14.61 
3,6/18/2019,129," $1,934 ", $14.99 
3,6/17/2019,102," $1,529 ", $14.99 
3,6/16/2019,98," $1,469 ", $14.99 
3,6/15/2019,147," $1,950 ", $13.26 
3,6/14/2019,244," $2,702 ", $11.07 
3,6/13/2019,163," $2,052 ", $12.59 
3,6/12/2019,80," $1,199 ", $14.99 
3,6/11/2019,103," $1,482 ", $14.38 
3,6/10/2019,169," $2,318 ", $13.72 
3,6/9/2019,128," $1,908 ", $14.91 
3,6/8/2019,113," $1,694 ", $14.99 
3,6/7/2019,76," $1,139 ", $14.99 
3,6/6/2019,105," $1,574 ", $14.99 
3,6/5/2019,78," $1,169 ", $14.99 
3,6/4/2019,88," $1,319 ", $14.99 
3,6/3/2019,157," $2,014 ", $12.83 
3,6/2/2019,162," $2,306 ", $14.23 
3,6/1/2019,172," $1,682 ", $9.78 
3,5/31/2019,133," $1,994 ", $14.99 
3,5/30/2019,97," $1,454 ", $14.99 
3,5/29/2019,199," $2,077 ", $10.43 
3,5/28/2019,94," $1,409 ", $14.99 
3,5/27/2019,122," $1,632 ", $13.38 
